 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.9999996,0.9334287,0.9381838,0.896007,0.9206071,0.91955054,0.95170826,0.9160485,0.92020404,0.9298682,0.9441954,0.93307835,0.9516231,0.8956044,0.90934163,0.95718646,0.91150403,0.9042642,0.905574,0.9233437,0.91449934,0.9260133,0.9106837,0.8867546,0.90648025,0.91619617,0.92223805,0.9304589,0.92210543,0.91591924,0.9341877,0.9037804,0.94397134,0.92246884,0.94511765,0.89308757,0.9215852,0.9308378,0.9249644,0.94537663,0.9305425,0.91722006,0.9352819,0.9003777,0.9139639,0.9183415,0.9149203,0.9194062
1,0.9334287,1.0000001,0.9332807,0.892189,0.9255251,0.89868337,0.91500926,0.9034995,0.9186319,0.9201988,0.9182645,0.9325031,0.9285629,0.8914358,0.8989171,0.921958,0.90689194,0.87547404,0.8940283,0.9298284,0.8915005,0.9040876,0.8972411,0.86891305,0.9059271,0.90301234,0.94513017,0.91271234,0.9173798,0.9137675,0.94284916,0.89329326,0.9093308,0.898462,0.9275366,0.8847426,0.9085894,0.9119073,0.90479106,0.9326541,0.93159425,0.90882635,0.9297173,0.87814295,0.89842755,0.92321956,0.92901516,0.9228135
2,0.9381838,0.9332807,1.0000002,0.88568413,0.9008783,0.8897111,0.9117993,0.89979553,0.9044852,0.9214051,0.92599684,0.92794114,0.94908816,0.8837477,0.90008295,0.9223978,0.90180296,0.883455,0.87652814,0.93663824,0.90173876,0.90109426,0.88559693,0.8653336,0.9016646,0.9071658,0.915606,0.9051708,0.9211704,0.8885192,0.9362116,0.904757,0.91774136,0.9118089,0.9339508,0.89700645,0.91388935,0.9196631,0.89713407,0.93304163,0.9358791,0.898468,0.9115175,0.8788748,0.8950872,0.89066404,0.91692156,0.90430355
3,0.896007,0.892189,0.88568413,1.0000001,0.90494174,0.89881,0.88854176,0.9124319,0.88313437,0.90828496,0.90362036,0.887424,0.9057259,0.89788723,0.8576126,0.8900422,0.93057394,0.8916113,0.9054523,0.90425026,0.8842082,0.9084995,0.9041713,0.8786558,0.9128946,0.90254766,0.9002029,0.9077128,0.90763074,0.8930534,0.9133176,0.8596636,0.8970794,0.8967629,0.9059088,0.83883435,0.9073116,0.87905645,0.89515764,0.9080224,0.9018092,0.91214573,0.89887786,0.8867709,0.9076254,0.8843333,0.91362846,0.88590246
4,0.9206071,0.9255251,0.9008783,0.90494174,0.99999994,0.9173449,0.89996696,0.92255443,0.90410835,0.902678,0.9147924,0.9140245,0.9245167,0.90587807,0.88760215,0.9044679,0.92828494,0.8911798,0.9234061,0.89231277,0.9063513,0.9138492,0.9014835,0.884668,0.92913914,0.9219343,0.9448803,0.9402877,0.90319645,0.93913203,0.9334605,0.8767076,0.8972634,0.90885967,0.92415833,0.8658596,0.9156542,0.90304995,0.9148065,0.9227701,0.9027831,0.94152,0.9399193,0.89134914,0.9163334,0.93027747,0.9301729,0.91336066
5,0.91955054,0.89868337,0.8897111,0.89881,0.9173449,1.0,0.9272775,0.9403467,0.89984995,0.9165336,0.9276644,0.8979479,0.90495485,0.90310717,0.8845563,0.9143813,0.9070642,0.9041618,0.94533557,0.88764304,0.91223884,0.93710786,0.9412452,0.91094315,0.9042023,0.9353158,0.91639614,0.94480586,0.8999419,0.92281544,0.9002768,0.8811272,0.900291,0.91760206,0.90784436,0.86849576,0.9079204,0.90269744,0.92829645,0.9121671,0.9067519,0.91860807,0.91890514,0.9147698,0.9281009,0.909831,0.89426017,0.9093203
6,0.95170826,0.91500926,0.9117993,0.88854176,0.89996696,0.9272775,1.0000006,0.9139668,0.9166911,0.9253419,0.93685603,0.9127373,0.9337484,0.8924781,0.9026869,0.94834745,0.90190536,0.8894695,0.91237116,0.908418,0.9143026,0.92084515,0.90192044,0.8768075,0.8926906,0.9062506,0.90259796,0.9278312,0.91313547,0.9085552,0.9140874,0.89630294,0.9352141,0.9144731,0.9433467,0.8842795,0.9100896,0.9233091,0.93118435,0.94276065,0.92449564,0.9058721,0.92007905,0.90496004,0.91156673,0.9141358,0.903002,0.917787
7,0.9160485,0.9034995,0.89979553,0.9124319,0.92255443,0.9403467,0.9139668,0.9999993,0.8907082,0.92522895,0.9176197,0.8977518,0.922568,0.9282964,0.8807163,0.9056649,0.920518,0.9061259,0.9354036,0.9102082,0.93197453,0.95453453,0.9467991,0.9430153,0.9309542,0.96929073,0.9327519,0.95332336,0.90182143,0.9285989,0.9266646,0.87644756,0.90529156,0.9282495,0.9292367,0.8612509,0.9347968,0.92379636,0.93550324,0.9375896,0.91842806,0.9470655,0.9283861,0.9302388,0.96149576,0.91643596,0.9046094,0.90372413
8,0.92020404,0.9186319,0.9044852,0.88313437,0.90410835,0.89984995,0.9166911,0.8907082,1.0,0.9018246,0.9012339,0.9625672,0.92239326,0.873464,0.9398521,0.92298186,0.8976369,0.8667667,0.8869748,0.90602434,0.88774496,0.9044624,0.89452225,0.86124104,0.88101053,0.8904429,0.90260756,0.902524,0.8946583,0.9001763,0.9422177,0.9335236,0.90153307,0.8935613,0.89903694,0.92445093,0.9007083,0.91454357,0.8979437,0.9138032,0.9064694,0.89108586,0.9207781,0.87854147,0.89181507,0.9175166,0.9016939,0.9520483
9,0.9298682,0.9201988,0.9214051,0.90828496,0.902678,0.9165336,0.9253419,0.92522895,0.9018246,1.0000001,0.9431463,0.9240754,0.9318983,0.909021,0.90249,0.9289931,0.9182245,0.8995801,0.90725344,0.93221825,0.91723084,0.9281257,0.92461264,0.8948953,0.9266077,0.9183535,0.9146969,0.9213324,0.9525113,0.90632486,0.9264055,0.90228254,0.94815636,0.93284255,0.9424549,0.88772583,0.9122008,0.9201797,0.912615,0.93898374,0.940607,0.90935934,0.9119057,0.921869,0.9253779,0.89190364,0.929291,0.9100302
